,OPEN,HIGH,LOW,CLOSE,VOLUME,PCT_CHG
2015/3/20,98.16,98.295,98.06,98.17,6571,0.183692213
2015/3/23,98.17,98.175,97.92,97.99,7134,-0.14266789
2015/3/24,98.065,98.26,97.84,97.94,10505,-0.020416497
2015/3/25,97.94,98.08,97.8,97.935,8731,0.005105688
2015/3/26,98,98,97.4,97.405,11789,-0.515779798
2015/3/27,97.3,97.695,97.065,97.655,16364,0.205222923
2015/3/30,97.5,97.52,96.825,97.15,25907,-0.30785018
2015/3/31,96.9,97.095,96.67,96.9,15338,-0.252200319
2015/4/1,96.95,97.36,96.84,97.305,10124,0.386877128
2015/4/2,97.5,97.56,97.29,97.39,10754,0.138810344
2015/4/3,97.45,97.48,96.96,97,10556,-0.410677618
2015/4/7,97.005,97.235,96.8,96.805,9466,-0.262724088
2015/4/8,96.855,96.97,96.275,96.32,19257,-0.578034682
2015/4/9,96.45,96.595,96.32,96.55,10995,0.191978415
2015/4/10,96.55,96.7,96.41,96.45,10779,-0.036275069
2015/4/13,96.39,96.955,96.38,96.905,12681,0.456123983
2015/4/14,96.95,97.265,96.75,96.75,14390,-0.159950467
2015/4/15,97,97.365,96.85,97.175,20214,0.232078391
2015/4/16,97.21,97.29,97.07,97.25,8535,0.175113309
2015/4/17,97.265,97.4,97.07,97.295,10115,0.082291827
2015/4/20,97.68,98.075,97.58,98.075,11620,0.796505653
2015/4/21,98.13,98.43,98.01,98.09,13430,0.071413997
2015/4/22,98.09,98.25,97.965,98.2,8135,0.096835024
2015/4/23,98.1,98.265,97.905,98.15,9187,-0.056005295
2015/4/24,98.1,98.1,97.755,97.845,9344,-0.26502217
2015/4/27,97.92,98.505,97.86,98.405,14143,0.541507024
2015/4/28,98.35,98.49,98.26,98.38,7629,-0.040642146
2015/4/29,98.345,98.41,98.205,98.39,6243,0.035585379
2015/4/30,98.43,98.62,98.4,98.46,8867,0.076231133
2015/5/4,98.425,98.425,98.11,98.145,6679,-0.355347987
2015/5/5,98.075,98.21,97.95,98.015,8652,-0.147718011
2015/5/6,97.95,97.97,97.27,97.29,15563,-0.754870958
2015/5/7,97.285,97.53,97.1,97.245,11536,-0.159137577
2015/5/8,97.265,97.66,97.265,97.63,7722,0.370103835
2015/5/11,98.415,98.415,97,97.665,9317,0.046097111
2015/5/12,97.66,97.875,97.19,97.42,10396,-0.245750563
2015/5/13,97.4,97.615,97.245,97.445,7423,0.149023638
2015/5/14,97.57,97.8,97.38,97.48,7454,-0.020512821
2015/5/15,98.09,98.335,98.09,98.32,3061,0.815175596
2015/5/18,98.5,98.515,98.1,98.24,7129,-0.035614347
2015/5/19,98.2,98.25,97.5,97.89,8627,-0.371482367
2015/5/20,97.84,98.275,97.78,98.175,9075,0.265536435
2015/5/21,98.16,98.22,97.7,97.985,6573,-0.173195456
2015/5/22,97.935,98.105,97.93,98.04,5965,0.051025615
2015/5/25,98.005,98.085,97.71,97.785,6383,-0.219387755
2015/5/26,97.765,97.765,96.605,96.9,13450,-0.88984351
2015/5/27,96.93,97.185,96.67,96.835,9109,-0.051607576
2015/5/28,96.7,96.88,95.885,96.19,12109,-0.604494963
2015/5/29,96.16,96.295,95.92,96.115,7590,-0.046797005
2015/6/1,96.12,96.235,95.12,95.5,14312,-0.691519784
2015/6/2,95.705,96.28,95.63,96.18,12973,0.770077008
2015/6/3,95.98,96.66,95.86,96.43,12792,0.479316453
2015/6/4,96.4,96.575,95.98,96.25,11592,-0.072674419
2015/6/5,96.37,96.68,96.25,96.68,8415,0.431101646
2015/6/8,96.595,96.92,96.465,96.87,7336,0.284693825
2015/6/9,96.85,96.955,96.6,96.835,8370,-0.046449216
2015/6/10,96.75,96.78,95.99,96.22,9906,-0.609441173
2015/6/11,96.15,96.295,95.995,96.11,6956,-0.1869353
2015/6/12,96.155,96.42,95.85,96,10085,-0.161198066
2015/6/15,95.95,96.02,95.575,95.595,7871,-0.458166294
2015/6/16,95.65,96.345,95.55,96.27,12048,0.64819655
2015/6/17,96.36,96.41,95.905,96.16,9442,-0.093506494
