,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,factor13,factor14,factor15,factor16,factor17,factor18,factor19,factor20,factor21,factor22,factor23,factor24,factor25,factor26,factor27,factor28,factor29,factor30,factor31,factor32,factor33,factor34,factor35,factor36,factor37,HP_5_T,HP_10_T,HP_20_T,HP_40_T,HP_80_T,HP_120_T,LIQUIDITY_5_T,LIQUIDITY_10_T,LIQUIDITY_20_T,LIQUIDITY_40_T,LIQUIDITY_80_T,LIQUIDITY_120_T,MOM_5_TS,MOM_10_TS,MOM_20_TS,MOM_40_TS,MOM_80_TS,MOM_120_TS,MOM_5_TF,MOM_10_TF,MOM_20_TF,MOM_40_TF,MOM_80_TF,MOM_120_TF,MOM_5_T,MOM_10_T,MOM_20_T,MOM_40_T,MOM_80_T,MOM_120_T,OI1_OI_T,OI2_OI_T,OI3_OI_T,OI4_OI_T,OI5_OI_T,OI6_OI_T,OI7_OI_T,OI8_OI_T,OI9_OI_T,retTS,retTF,retT,Skewness_5_TS,Skewness_10_TS,Skewness_20_TS,Skewness_40_TS,Skewness_80_TS,Skewness_120_TS,Skewness_5_TF,Skewness_10_TF,Skewness_20_TF,Skewness_40_TF,Skewness_80_TF,Skewness_120_TF,Skewness_5_T,Skewness_10_T,Skewness_20_T,Skewness_40_T,Skewness_80_T,Skewness_120_T,STD_5_TS,STD_10_TS,STD_20_TS,STD_40_TS,STD_80_TS,STD_120_TS,STD_5_TF,STD_10_TF,STD_20_TF,STD_40_TF,STD_80_TF,STD_120_TF,STD_5_T,STD_10_T,STD_20_T,STD_40_T,STD_80_T,STD_120_T,Term SpreadT,Value_5_TS,Value_10_TS,Value_20_TS,Value_40_TS,Value_80_TS,Value_120_TS,Value_5_TF,Value_10_TF,Value_20_TF,Value_40_TF,Value_80_TF,Value_120_TF,Value_5_T,Value_10_T,Value_20_T,Value_40_T,Value_80_T,Value_120_T,VOLA_5_TS,VOLA_10_TS,VOLA_20_TS,VOLA_40_TS,VOLA_80_TS,VOLA_120_TS,VOLA_5_TF,VOLA_10_TF,VOLA_20_TF,VOLA_40_TF,VOLA_80_TF,VOLA_120_TF,VOLA_5_T,VOLA_10_T,VOLA_20_T,VOLA_40_T,VOLA_80_T,VOLA_120_T,固定利率国债:发行利率:1年,固定利率国债:发行利率:2年,固定利率国债:发行利率:5年,固定利率国债:发行利率:10年,同业存单:发行利率(股份制银行):1个月,同业存单:发行利率(股份制银行):3个月,同业存单:发行利率(股份制银行):1年,超额利差(中位数):全体城投债,超额利差(中位数):城投债AAA,超额利差(中位数):城投债AA+,超额利差(中位数):城投债AA,中债国债到期收益率:1年,中债国债到期收益率:2年,中债国债到期收益率:5年,中债国债到期收益率:7年,中债国债到期收益率:10年,中债国债到期收益率:30年,中债国开债到期收益率:1年,中债国开债到期收益率:2年,中债国开债到期收益率:5年,中债国开债到期收益率:7年,中债国开债到期收益率:10年,中债国开债到期收益率:30年,回购定盘利率:7天(FR007),银行间质押式回购加权利率:7天,SHIBOR:3个月,银行间同业拆借加权利率:1天,银行间同业拆借加权利率:7天,成交量:银行间同业拆借,dq_close_cnbd,anal_capduration,anal_cashflowconvexity,anal_capytm,anal_cashflowytm,anal_cashflowduration,val_mv,dq_amount_cnbd
2016/7/20,28251.3945,0.880941785,0.137,-0.1642,0.172,0.4129,0.6231,0.3525,0.111830208,0.1358,0.0001,0.48,0.0337,0.1736,0.4436,-0.0789,0.0916,56.2,1.02317894,3.063028645,0.610313262,75.96988517,70.93255077,0.005468406,-0.026005169,58.33333333,90.27777778,0.008,0.012,1,0.04,-0.00327224,97.1415,411.49,133.2836711,0.4403,-2.718696471,0.035044137,0.007506706,0.008536741,0.001252242,0.004337939,0.001886728,56401369.58,67107644.34,42459426.57,31265386.98,39955723.01,36176901.96,-0.003905698,-0.000560086,-0.002251341,-0.000397268,0.001337479,-0.00024697,-0.006042847,-0.001736082,-0.002420428,-0.001174747,0.000500641,-0.000440581,0.001282661,0.00046194,0.000505545,0.000455081,0.000129515,4.39E-05,3031,202,61,1102,412,740,-841,-488,178,-0.010212486,-0.013177711,0.002932406,0.641594037,0.565567491,0.351826274,0.318139666,0.622341755,0.034523777,-1.010997884,0.01112291,-0.272361402,-0.364584308,1.134561635,0.925032585,0.51988551,0.080159111,-0.255719455,-0.024675679,-2.279725161,-1.600384604,0.007544155,0.00779417,0.006989339,0.006768437,0.009321393,0.009751683,0.004726717,0.006937105,0.007313623,0.006426712,0.008712454,0.008334854,0.001263012,0.001723925,0.001988667,0.00170003,0.002517036,0.00251038,0.005964529,0.008608208,0.007444347,0.018948968,0.033007215,0.006725027,-0.001004207,0.017060806,0.017330827,0.021161385,0.038673943,0.025484214,0.020945951,-0.003107057,-0.003569473,-0.004840977,-0.01041632,-0.01272809,-0.012624576,0.014572113,0.108463821,0.021698563,0.115317035,0.064964298,0.385048715,0.00369724,0.027719554,0.022099022,0.035158738,0.151619362,0.157677764,0.001243663,0.006433551,0.007822833,0.006350746,0.048916689,0.143585524,2.3325,2.5628,2.65,2.8114,2.4496,2.6881,2.865,11.731625,14.986035,9.26649,-10.52065,2.265,2.4036,2.621,2.8001,2.7996,3.4227,2.3363,2.7143,2.9971,3.2006,3.1521,3.746,2.4,2.4594,2.8615,2.0439,2.4548,4638.26,102.7378,2.045300007,8.818599701,3.2696,3.488600016,2.296299934,6186.3494,6.47
2016/7/21,26044.4488,0.848307552,0.1186,-0.1788,0.1698,0.4205,0.5726,0.3642,0.115810226,0.1108,0,0.48,0.0461,0.1592,0.4292,-0.08,0.071,56.2,1.024987948,3.128932407,0.58549137,77.78814883,73.19595794,0.005526752,0.003883394,66.66666667,99.3006993,0.004,0.004,1,0.024,0.004607603,96.9488,411.45,135.8333046,0.4288,-2.69999839,0.032353394,0.007966232,0.007788436,0.00090459,0.004470438,0.002050519,58752633.75,69709379.95,40390819.21,31875721.56,39765848.78,36124480.68,-0.004730049,-0.001777955,-0.002828718,-0.000731019,0.000981994,-0.000420776,-0.007025687,-0.0017794,-0.002775947,-0.001347937,0.000327666,-0.000611935,0.001261959,0.000262838,0.00054278,0.00041575,0.000141955,4.43E-05,-328,3031,202,61,1102,412,740,-841,-488,-0.014311866,-0.007554369,0.000594678,0.324597042,0.372941939,0.29238138,0.215375691,0.634944613,0.059465252,-0.359874641,0.017361376,-0.124858868,-0.293264601,1.173084868,0.968927396,0.560289789,0.239172672,-0.318518856,0.019660069,-2.295257731,-1.600678605,0.008571846,0.008950885,0.007501159,0.007122123,0.009373599,0.009817119,0.004345281,0.006975911,0.007386416,0.006505223,0.008734105,0.008267735,0.001275774,0.001558447,0.001982706,0.00167744,0.002516841,0.002510462,0.006060625,0.018335018,0.020103006,0.030545499,0.046714779,0.022064524,0.01298514,0.017642921,0.02316119,0.025967009,0.044933782,0.033380102,0.027911704,-0.002439703,-0.00390042,-0.004892838,-0.01059403,-0.013179556,-0.013174329,0.015533994,0.045062082,0.019891479,0.069388947,0.089475489,0.229043057,0.00268749,0.027348174,0.019654245,0.03139459,0.232812204,0.111703724,0.00128974,0.009240498,0.007242572,0.006768019,0.044623228,0.142334208,2.3325,2.5628,2.65,2.8114,2.4754,2.7001,2.916,11.850235,14.7512,8.648335,-10.66026,2.2404,2.3692,2.6012,2.7801,2.7806,3.3532,2.2873,2.6971,2.9781,3.1664,3.1448,3.6924,2.4,2.4558,2.8575,2.0556,2.4189,4137.09,102.7942,2.032599926,8.767399788,3.2319,3.464999914,2.287199974,6132.4411,10.478
2016/7/22,23445.4923,0.820205089,0.1935,-0.1991,0.1778,0.4186,0.608,0.3579,0.113669567,0.1122,0,0.48,0.0435,0.1514,0.4214,-0.1038,0.0789,56.2,1.027651986,3.099962207,0.599566331,77.95495496,74.86991255,0.005134702,0.0175832,66.66666667,99.23076923,0.008,0.016,1.5,0.032,-0.008412117,97.3526,410.61,133.4354699,0.4377,-2.709650898,0.017930804,0.006398047,0.005346594,0.002192336,0.005183925,0.002202472,129657363.9,71385811.2,58201031.23,39481262.89,44210635.73,39121437.55,-0.005011671,-0.001019863,-0.002728451,-0.000722558,0.001018182,-0.000405868,-0.006464765,-0.002013107,-0.002100452,-0.001500375,0.000397154,-0.00057325,0.000813857,0.000262825,0.000395279,0.000422025,0.000167646,9.34E-05,17,-328,3031,202,61,1102,412,740,-841,0.004685126,-0.001806858,4.95E-05,0.218131111,0.085332222,0.272300163,0.213125209,0.622094834,0.055585317,-0.373162512,0.139120472,-0.123933295,-0.245493212,1.17355755,0.963522779,1.928146114,0.23920247,-0.231192863,0.008968781,-2.351048297,-1.662192777,0.008140063,0.009163175,0.007591372,0.007128494,0.009382299,0.009823538,0.004882398,0.006928988,0.00677115,0.006440868,0.008694129,0.00825103,0.001216498,0.001558449,0.001898251,0.001675541,0.002505104,0.002451279,0.006060324,0.008642127,0.014418925,0.023134925,0.041337427,0.018350838,0.007898398,0.012986748,0.022984354,0.025686891,0.045265487,0.035565918,0.029143981,-0.001675333,-0.003686462,-0.004546771,-0.010220685,-0.013060352,-0.013129764,0.013221265,0.082328525,0.02112148,0.070327158,0.086455574,0.237766837,0.003687344,0.023849141,0.021827906,0.027649598,0.190323962,0.118760532,0.001818338,0.00924098,0.009115991,0.006652305,0.037433411,0.064347647,2.3325,2.5628,2.65,2.8114,2.5002,2.695,2.875,12.21837,16.18033,8.85733,-10.4727,2.2629,2.3803,2.5965,2.7833,2.7907,3.3987,2.329,2.7205,3.0036,3.1772,3.1486,3.7063,2.4,2.5585,2.856,2.0702,2.4671,3107.43,102.7821,2.029299974,8.746899605,3.2391,3.468600035,2.283799887,6142.9788,5.788
2016/7/25,20635.4082,0.781526459,0.2888,-0.1839,0.1907,0.408,0.6145,0.3564,0.112670713,0.1155,0,0.43,0.0426,0.1601,0.4301,-0.1291,0.0776,56.2,1.057051971,3.266722387,0.608742538,60.08610865,70.54033774,0.003090874,-0.001320042,58.33333333,70.94017094,0.004,0.004,1.5,0.08,0.001774453,97.2587,409.87,134.0721405,0.4984,-2.725987348,0.018009684,0.009929685,0.006578545,0.00335115,0.00614476,0.003044451,85084075.58,71499956.05,58351206.99,39477028.2,44192856.93,38862782.64,-0.003102385,-0.00106721,-0.002389589,-0.000792015,0.001143585,-0.000312588,-0.006513898,-0.002548564,-0.001536888,-0.001566575,0.000592093,-0.000491633,0.000496673,0.000298078,0.000171433,0.000413894,0.000123381,7.35E-05,34,17,-328,3031,202,61,1102,412,740,0.002394656,-0.001848642,-0.001634311,-0.675985588,0.101904842,0.135139081,0.234979534,0.601267138,0.032579062,-0.397856317,0.380181173,-0.138497385,-0.215436718,1.32401123,0.976334047,0.439022614,0.363720634,-0.052618757,0.00423915,-2.305320742,-1.6319173,0.008617346,0.009142068,0.007664423,0.007082997,0.009332014,0.009796251,0.004822127,0.006656796,0.006254955,0.006430243,0.008460703,0.008188801,0.001633304,0.001504942,0.001858175,0.001684926,0.002505293,0.002455577,0.005820767,0.003138406,0.010966471,0.01834289,0.038171377,0.017033998,0.005189779,0.008292106,0.022313531,0.026017731,0.045572356,0.037973167,0.030503245,0.000456268,-0.001752614,-0.0027395,-0.008171097,-0.011300528,-0.011420105,0.023935991,0.078313905,0.024583049,0.063343322,0.076152166,0.30700642,0.003569737,0.017387412,0.025456943,0.0263939,0.12089916,0.136395445,0.005371109,0.007598191,0.020140888,0.006859186,0.050870873,0.082048486,2.3325,2.5628,2.65,2.8114,2.5002,2.7066,2.91,11.65361,15.383325,8.76701,-10.71225,2.2629,2.386,2.5917,2.805,2.8068,3.4213,2.3782,2.731,3.0187,3.1976,3.1632,3.7314,2.4,2.6848,2.854,2.0795,2.5352,2905.839,102.7233,2.080899954,8.72630024,3.2676,3.488199949,2.280699968,6165.4118,2.887
2016/7/26,20215.985,0.783963141,0.3241,-0.1851,0.1927,0.3942,0.6252,0.3585,0.11381675,0.1095,0,0.43,0.0669,0.148,0.448,-0.1281,0.0697,56.2,1.001689853,3.221115028,0.60453216,69.87803267,74.0895981,0.004797956,0.006284424,58.33333333,78.70967742,0.004,0.008,1.5,0.036,0.011979133,97.1654,409.38,132.6490317,0.5034,-2.711380558,0.02818,0.021497374,0.002844576,0.001725282,0.00546645,0.003783988,83356970.31,71428815.82,58446426.71,39326575.77,40204911.06,38768624.67,-0.00348933,-0.00117891,-0.002544756,-0.000871936,0.001103271,-0.000162529,-0.004886007,-0.003361215,-0.001775648,-0.001535636,0.000592046,-0.000419451,0.000773849,0.000670627,0.000422615,0.000479871,0.000148166,0.000101283,1500,34,17,-328,3031,202,61,1102,412,0.000167645,7.72E-05,0.00193462,-0.583020763,0.146658237,0.186137318,0.268333471,0.614922667,0.037570694,-1.075892714,0.219188823,-0.085992416,-0.229676399,1.324026834,0.96988654,-0.216711334,0.134806529,-0.098520164,-0.091665287,-2.308716223,-1.656829594,0.008364951,0.00911693,0.007574681,0.007052866,0.009329141,0.009662522,0.005495591,0.005612448,0.006087117,0.006435222,0.008460705,0.00815497,0.001756872,0.001386297,0.001729027,0.001691593,0.00251335,0.002457606,0.005560535,-0.000544902,0.009625002,0.015608361,0.03714915,0.017904151,0.004858833,0.003297155,0.018887595,0.024177743,0.043980703,0.038452586,0.030008696,-0.000703287,-0.003014739,-0.004249535,-0.009623842,-0.013084036,-0.013250838,0.020053251,0.070504443,0.022546677,0.05704882,0.078886224,0.574446609,0.006181227,0.009371485,0.020867304,0.026967385,0.120908796,0.158549121,0.003988633,0.002865705,0.007073896,0.005963036,0.042634,0.059633173,2.3325,2.5628,2.65,2.8114,2.5002,2.7099,2.93,10.67364,14.985645,8.4848,-11.498265,2.2663,2.3864,2.5919,2.7901,2.7913,3.4165,2.3782,2.7188,3.0022,3.192,3.1498,3.6915,2.6,2.7604,2.851,2.0908,2.6879,2800.27,102.746,2.030100107,8.730400085,3.2533,3.476200104,2.282700062,6212.7605,1.1708
2016/7/27,22327.0627,0.860476233,0.2572,-0.1851,0.1962,0.4063,0.5869,0.363,0.114884324,0.0914,0,0.43,0.0278,0.1665,0.4865,-0.139,0.0452,56.2,1.022420073,3.277187884,0.603398482,61.51923124,73.48547464,0.003342796,-0.006285624,58.33333333,68.51851852,0.008,0.012,1.5,0.052,-0.015703874,96.7846,409.56,132.5363761,0.4641,-2.71574014,0.010456147,0.012082581,0.004737831,0.00409889,0.005676104,0.003724561,85616498.52,71008934.05,57283911.49,39554245.91,36334626.17,38796190.49,-0.00290838,-0.003407039,-0.002988378,-0.000981979,0.000971853,-0.000268606,-0.002990581,-0.004516714,-0.002115635,-0.001586763,0.000546716,-0.000523467,9.91E-06,0.000646286,0.000395515,0.000492935,0.000137022,7.76E-05,-365,1500,34,17,-328,3031,202,61,1102,-0.007333222,-0.00378101,-0.000891177,-0.855429185,-0.110497468,0.356711341,0.289849733,0.639616139,0.065812466,-1.106979871,-1.217890777,0.067240936,-0.204729658,1.332247123,1.009855257,0.339983763,0.116999022,-0.063822748,-0.094341809,-2.288738732,-1.640306699,0.007862514,0.007283316,0.007584382,0.007120274,0.009373842,0.009671154,0.002908412,0.004034486,0.005994858,0.006445029,0.008474499,0.00811727,0.001374879,0.001413887,0.001745931,0.001678558,0.002515991,0.002453313,0.005515679,0.003901367,0.013572052,0.019954502,0.043551013,0.026175684,0.011949372,0.004089068,0.018148859,0.025862275,0.046205872,0.042753438,0.033274432,0.000198196,-0.001477801,-0.002962759,-0.00824,-0.012054525,-0.012281084,0.021255518,0.015569733,0.019248853,0.051628703,0.090413814,0.348209739,0.0028285,0.003603743,0.016987018,0.026178082,0.131360856,0.125872422,0.190725712,0.003093176,0.007707115,0.00571588,0.046198565,0.077579459,2.3325,2.5628,2.65,2.8114,2.5002,2.7149,2.9125,10.91334,14.94296,8.29545,-11.825375,2.2423,2.3689,2.5821,2.7951,2.7967,3.3836,2.3441,2.7004,3.0002,3.1867,3.1597,3.6865,2.62,2.6618,2.849,2.067,2.5984,4237.64,102.7575,2.022399902,8.648400307,3.257,3.476700068,2.270699978,6268.4708,36.4946
2016/7/28,23531.8245,0.895854064,0.1919,-0.1851,0.1936,0.4045,0.5845,0.3618,0.114911863,0.0807,0,0.38,0.0057,0.1935,0.5235,-0.131,0.0412,56.2,1.016529263,3.050147541,0.641238255,72.95147612,81.64337765,0.005873941,0.014483144,66.66666667,67.30769231,0.004,0.004,1,0.028,0.000899093,96.6868,407.6,130.8905917,0.4686,-2.705725716,0.008742979,0.01228608,0.003371826,0.005068975,0.005987961,0.004058723,80777110.39,69764872.07,57324924.36,39564485.61,36214487.55,38799762.74,-0.000701889,-0.002715969,-0.002599703,-0.001409186,0.000952402,-0.000300202,-0.001442991,-0.004234339,-0.001974065,-0.001588342,0.000467994,-0.000526115,0.000415595,0.000838777,0.000384512,0.000504236,0.000161044,6.62E-05,1591,-365,1500,34,17,-328,3031,202,61,-0.003377095,0.000154913,0.002626363,-0.496662503,-0.370221235,0.297604783,0.262922811,0.643510707,0.075406802,-0.519017441,-1.1049637,-0.00869322,-0.20405857,1.368985943,1.010942833,0.231052482,-0.090043666,-0.085113709,-0.085731348,-2.266435085,-1.682649911,0.004763142,0.006873633,0.007338984,0.006717708,0.009381334,0.009675116,0.001632756,0.004270125,0.006014317,0.006444584,0.008448152,0.008116994,0.001818264,0.001546522,0.00173032,0.001691615,0.002530577,0.002438073,0.005650293,0.006585915,0.014244291,0.020726989,0.045549672,0.030448412,0.015031113,0.002490604,0.013736776,0.023742996,0.044483666,0.043038626,0.032594007,-0.002008639,-0.003262371,-0.00520057,-0.010358411,-0.014515082,-0.014837118,0.032323542,0.017395941,0.020718019,0.032023876,0.092407877,0.31181665,0.001847476,0.004306212,0.018323609,0.026148443,0.152504621,0.125230297,0.007955067,0.002851449,0.007786507,0.005675049,0.039764463,0.089844656,2.3325,2.5628,2.65,2.8114,2.5375,2.7101,2.9229,11.995325,14.82106,8.636715,-8.372525,2.2383,2.3609,2.5825,2.7851,2.7867,3.3712,2.3401,2.6941,2.9755,3.1732,3.1485,3.679,2.6,2.5548,2.8465,2.0735,2.5227,4418.38,102.7673,2.012099981,8.688599586,3.2282,3.468899965,2.275500059,6289.774,14.0778
2016/7/29,23605.6696,0.929124247,0.1223,-0.2052,0.191,0.4159,0.5718,0.3765,0.119398725,0.0608,0,0.38,-0.0145,0.1881,0.5181,-0.1202,0.0651,56.2,1.025024265,3.13650002,0.655795863,64.30098479,80.55504456,0.004509999,0.008439399,66.66666667,56.70731707,0.004,0.006,0.666666667,0.024,-0.005341624,95.5534,408.07,130.5169675,0.418,-2.695827029,0.019246998,0.000364369,0.005688988,0.008164371,0.006930384,0.004030787,10632357.05,70144860.49,57631966.43,39489306.09,36305960.01,38244496.96,-0.001475835,-0.003243753,-0.001799787,-0.001754712,0.000832292,-0.000223061,-0.001065804,-0.003765285,-0.001391763,-0.001704228,0.000424821,-0.000465881,0.000207895,0.000510876,0.000215673,0.000497168,0.000178757,6.00E-05,-283,1591,-365,1500,34,17,-328,3031,202,0.000804778,7.74E-05,-0.000988484,-0.95244799,-0.519287819,0.375263073,0.045226804,0.682377734,0.05685477,-1.250768325,-1.229391313,-0.06032901,-0.179537076,1.387525123,1.001489056,0.577268154,0.37594776,0.113803577,-0.080297291,-2.311591548,-1.672018054,0.003909029,0.006301851,0.006741589,0.006207915,0.009319983,0.009646432,0.001741432,0.004476526,0.005584942,0.006369611,0.008441121,0.008094209,0.001926619,0.001552234,0.001688806,0.001697383,0.002517306,0.002439812,0.00495959,0.004307621,0.010181612,0.018124495,0.04300549,0.030425322,0.014003754,0.00134652,0.009867139,0.022286298,0.042717746,0.043361224,0.032052638,-0.000811688,-0.001762796,-0.003995504,-0.00887267,-0.013346223,-0.013787533,0.010353809,0.012243017,0.025252442,0.0219627,0.104364887,0.417166081,0.002845349,0.005322116,0.022411559,0.023806646,0.167723707,0.140628675,0.017854497,0.004716277,0.013224051,0.005795035,0.035449432,0.099218907,2.3325,2.5628,2.65,2.8114,2.5002,2.7122,2.914,12.00383,15.23303,6.300735,-7.419095,2.2394,2.3628,2.5827,2.7752,2.7768,3.3486,2.3455,2.6944,2.9654,3.1685,3.1533,3.6741,2.5,2.4869,2.846,2.071,2.5042,3178.759,102.7862,2.00180006,8.59430027,3.2165,3.458899975,2.261100054,6218.5339,9.573
2016/8/1,26840.7757,0.924752365,0.1385,-0.1775,0.188,0.3951,0.5603,0.3769,0.119275926,0.0628,0,0.38,-0.023,0.1818,0.4718,-0.1137,0.0651,56.2,1.051114832,2.912598856,0.681157024,54.2632232,70.37002971,0.002732538,-0.017941382,58.33333333,48.67724868,0.012,0.004,0.666666667,0.032,-0.008465009,95.7776,406.44,132.0374572,0.4128,-2.701798871,0.024950942,0.003775056,0.008878188,0.009776869,0.007031542,0.004105264,11025017.76,48054546.67,57793441.44,39517644.87,36015783.52,38280512.34,-0.002394834,-0.00274861,-0.001834361,-0.002039539,0.000624546,-0.000265423,-0.000664761,-0.00358933,-0.001682494,-0.001866176,0.000435272,-0.000454515,0.000277599,0.000387136,0.000285651,0.000497815,0.00016957,8.42E-05,-190,-283,1591,-365,1500,34,17,-328,3031,-0.002200779,0.000154877,-0.001286301,-0.888930706,-0.823992987,0.39230426,0.034623495,0.737157627,0.069942953,-2.233310863,-1.202331002,-0.040299322,-0.173395917,1.384172686,0.997250776,0.658536806,0.421292683,0.297206131,-0.080215529,-2.291524105,-1.716860381,0.003258441,0.006153192,0.006741807,0.005948847,0.009197781,0.009643851,0.001746473,0.004603662,0.005326959,0.006233094,0.008440252,0.008094114,0.001847945,0.001648242,0.001588212,0.00169668,0.002521345,0.002411479,0.004070293,0.004114361,0.009628589,0.018495193,0.043175517,0.033217996,0.015941563,0.000526361,0.006086507,0.020456363,0.0407043,0.043615966,0.031445197,0.000752676,-8.92E-05,-0.002422807,-0.00708902,-0.01188864,-0.012415554,0.004433476,0.013774882,0.024778081,0.017351365,0.135457156,0.350398677,0.004588372,0.005904641,0.016865729,0.020818751,0.163662916,0.144141817,0.012301568,0.007017441,0.008830408,0.005782716,0.037489968,0.069044826,2.3325,2.5628,2.65,2.8114,2.5002,2.7,2.9,12.42382,15.518795,5.495965,-4.04382,2.2369,2.3576,2.5831,2.7802,2.783,3.3433,2.3224,2.6788,2.9748,3.1718,3.1599,3.682,2.4,2.4188,2.844,2.0823,2.4016,4636.61,102.7978,1.948600054,8.557200432,3.1998,3.448899984,2.254600048,6231.6653,3.3376
2016/8/2,26694.4933,0.910567506,0.1156,-0.1775,0.1873,0.4058,0.5642,0.3818,0.120784562,0.0627,0.0001,0.38,-0.035,0.1824,0.4724,-0.1302,0.068,56.2,1.047158991,2.918411105,0.686131882,61.94110404,70.63130186,0.00384395,-0.021183669,58.33333333,65.2173913,0.004,0.004,0.333333333,0.028,0.003854119,95.0976,407.67,130.5113453,0.4179,-2.698248002,0.040248371,0.005287685,0.008356617,0.010652896,0.007181419,0.004185109,11043059.76,47200015.03,57330384.5,39022566.34,35928490.73,38227550.65,-0.002004649,-0.00274699,-0.001352901,-0.001949409,0.000531765,-0.00025564,-0.000610522,-0.002748265,-0.001877986,-0.001746742,0.000391118,-0.000486365,0.000168263,0.000471056,0.000402307,0.000522362,0.000199456,8.33E-05,1537,-190,-283,1591,-365,1500,34,17,-328,0.002120801,0.000348419,0.001387031,-0.515555733,-0.823725851,0.21422573,-0.004524799,0.769487003,0.066920808,-2.218163327,-1.80150506,-0.003318096,-0.231248413,1.403846849,1.011696671,0.854355533,0.24049791,0.103544081,-0.121111286,-2.325025098,-1.717197583,0.003725352,0.006154613,0.006658419,0.005984642,0.009143979,0.009645684,0.00177918,0.004461781,0.005166805,0.006228496,0.008431234,0.008083275,0.001738463,0.001678367,0.001578559,0.001702384,0.002521419,0.002410939,0.003965309,-1.69E-05,0.004741977,0.015026632,0.039109194,0.031603985,0.013566938,-0.00043353,0.00296387,0.01823064,0.038616778,0.043636297,0.030611218,-0.000465109,-0.001004709,-0.003406736,-0.007953883,-0.013074213,-0.013717617,0.006923031,0.013789371,0.032769986,0.018372717,0.157235485,0.363946949,0.005184871,0.007243659,0.014215166,0.02220944,0.181750268,0.13434212,0.017961514,0.005980005,0.006193904,0.005548086,0.031874504,0.069801256,2.3325,2.5628,2.65,2.8114,2.4998,2.7,2.895,12.4566,15.4459,6.427805,-5.0167,2.2454,2.3626,2.584,2.7801,2.7792,3.3434,2.318,2.6847,2.9814,3.1646,3.161,3.681,2.37,2.381,2.839,2.0622,2.4446,4996.61,102.8078,1.980999947,8.64220047,3.197,3.441900015,2.265100002,6273.8167,7.3249
